product name,product category,product price,product link,product image
"PC Power PCGM22 21.45"" IPS FHD 100Hz Borderless Monitor",Monitors,9500,https://www.startech.com.bd/pc-power-pcgm22-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/pc-power/pcgm22/pcgm22-01-228x228.webp
"ViewSonic VA220-H 22"" 100Hz Full HD Monitor",Monitors,9400,https://www.startech.com.bd/viewsonic-va220-h-22-inch-100hz-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/va220-h/va220-h-01-228x228.webp
Dell E1920H 18.5 Inch LED Monitor,Monitors,9900,https://www.startech.com.bd/dell-e1920h-led-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dell/e1920h/e1920h-01-228x228.jpg
"HP V20 19.5"" HD+ LED TN Monitor",Monitors,9500,https://www.startech.com.bd/hp-v20-hd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/v20/v20-228x228.jpg
"PC Power PCGM22WSY 21.45"" IPS FHD 100Hz Borderless Monitor",Monitors,9600,https://www.startech.com.bd/pc-power-pcgm22wsy-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/pc-power/pcgm22wsy/pcgm22wsy-01-228x228.webp
"Samsung LS19A330NHW 19"" LED Monitor",Monitors,9400,https://www.startech.com.bd/samsung-ls19a330nhw-19-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/samsung/ls19a330nhwxxl/ls19a330nhwxxl-01-228x228.webp
Dell 20 E2020H 19.5-inch 60Hz HD+ Monitor,Monitors,9900,https://www.startech.com.bd/dell-20-e2020h-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dell/e2020h/e2020h-01-228x228.webp
"Lenovo L22e-40 21.45"" 75Hz AMD free Sync FHD Monitor",Monitors,10000,https://www.startech.com.bd/lenovo-l22e-40-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/lenovo/l22e-40/l22e-40-01-228x228.webp
"LG 20MK400A-B 19.5"" FHD Monitor",Monitors,8990,https://www.startech.com.bd/lg-20mk400a-b-19-5-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/20mk400h-b/20mk400h-b-228x228.jpg
"PC Power PCM22F 21.45"" IPS FHD 75Hz Borderless Monitor",Monitors,9200,https://www.startech.com.bd/pc-power-pcm22f-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/pc-power/pcm22f/pcm22f-01-228x228.webp
